,Unnamed: 0,z0,z1,z2,z3,z4,z5,z6,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp6,sp,m,rh
0,0,21.2811526567,22.9770101234,20.0938294865,21.4480291846,23.4218986895,22.4723130282,23.9996525539,-2.29166666667,0.0,80924.9755838,23.266352584,22.1728226601,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.52684849521,0.0
1,1,21.2769476038,22.955427146,20.0764880626,21.4428066746,23.3899761595,22.422395114,23.9996539119,-1.78333333333,0.0,80924.9755838,23.2426746289,22.161492952,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.52157582217,0.0
2,2,21.269016659,22.9243969283,20.0532168792,21.4330245597,23.3477831072,22.3666148192,23.9996348937,-1.275,0.0,80924.9755838,23.2129261204,22.1448946468,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.51704332016,0.0
3,3,21.2593600868,22.892222931,20.0312848128,21.4212682742,23.3067899171,22.3193042666,23.999733713,-0.766666666667,0.0,80924.9755838,23.1849253182,22.1271490504,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.51262205079,0.0
4,4,21.2499718212,22.8662562587,20.0172617499,21.410025091,23.277206979,22.2938362109,23.9998348583,-0.258333333333,0.0,80924.9755838,23.1657719685,22.1123952421,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.50857449545,0.0
5,5,21.2415429896,22.8472481732,20.01110502,21.4001136634,23.259462095,22.2865647878,23.9999269335,0.25,0.0,80924.9755838,23.1551921006,22.1017254681,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.50490760475,0.0
6,6,21.2339543191,22.832772207,20.0098951737,21.3913469266,23.249425609,22.2881025925,24.0000143687,0.758333333333,0.0,80924.9755838,23.1497511191,22.0943765954,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.50138985704,0.0
7,7,21.2269148225,22.8205029636,20.0113440954,21.3833368516,23.2432701117,22.2922832002,24.0001062521,1.26666666667,0.0,80924.9755838,23.1466769797,22.0892041632,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.49814041836,0.0
8,8,21.2202322651,22.8092242671,20.0145083515,21.3758234103,23.238928464,22.2972309207,24.0001995037,1.775,0.0,80924.9755838,23.1446657576,22.0853385582,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.49504248946,0.0
9,9,21.2138480559,22.7985926878,20.019290684,21.3687129734,23.235698689,22.30324548,24.0002908658,2.28333333333,0.0,80924.9755838,23.1434374503,22.0822832099,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.49219177434,0.0
