,tout,s,i,t1,t2,t3,t4,t5,t6,t7,t8,sp0,m,rh
0,-2.29166666667,0.0,44186.7998292,23.4218986895,21.2811526567,22.9770101234,20.0938294865,21.4480291846,22.4723130282,23.9996525539,22.1728226601,24.0,2.98491672932,0.0
1,-1.78333333333,0.0,44186.7998292,23.3899761595,21.2769476038,22.955427146,20.0764880626,21.4428066746,22.422395114,23.9996539119,22.161492952,24.0,2.98491672932,0.0
2,-1.275,0.0,44186.7998292,23.3477831072,21.269016659,22.9243969283,20.0532168792,21.4330245597,22.3666148192,23.9996348937,22.1448946468,24.0,2.98491672932,0.0
3,-0.766666666667,0.0,44186.7998292,23.3067899171,21.2593600868,22.892222931,20.0312848128,21.4212682742,22.3193042666,23.999733713,22.1271490504,24.0,2.98491672932,0.0
4,-0.258333333333,0.0,44186.7998292,23.277206979,21.2499718212,22.8662562587,20.0172617499,21.410025091,22.2938362109,23.9998348583,22.1123952421,24.0,2.98491672932,0.0
5,0.25,0.0,44186.7998292,23.259462095,21.2415429896,22.8472481732,20.01110502,21.4001136634,22.2865647878,23.9999269335,22.1017254681,24.0,2.98491672932,0.0
6,0.758333333333,0.0,44186.7998292,23.249425609,21.2339543191,22.832772207,20.0098951737,21.3913469266,22.2881025925,24.0000143687,22.0943765954,24.0,2.98491672932,0.0
7,1.26666666667,0.0,44186.7998292,23.2432701117,21.2269148225,22.8205029636,20.0113440954,21.3833368516,22.2922832002,24.0001062521,22.0892041632,24.0,2.98491672932,0.0
8,1.775,0.0,44186.7998292,23.238928464,21.2202322651,22.8092242671,20.0145083515,21.3758234103,22.2972309207,24.0001995037,22.0853385582,24.0,2.98491672932,0.0
9,2.28333333333,0.0,44186.7998292,23.235698689,21.2138480559,22.7985926878,20.019290684,21.3687129734,22.30324548,24.0002908658,22.0822832099,24.0,2.98491672932,0.0
10,2.79166666667,0.0,44186.7998292,23.233433239,21.2077667199,22.788599849,20.02576991,21.3619904015,22.3108394119,24.0003784049,22.0797773735,24.0,2.98491672932,0.0
11,3.3,0.0,44186.7998292,23.2321058466,21.2020129786,22.7792940402,20.0339811281,21.3556680122,22.3201687565,24.0004623796,22.0776841001,24.0,2.98491672932,0.0
12,3.20833333333,0.0,44186.7998292,23.2317551193,21.1969978806,22.7718018889,20.139808193,21.3502576647,22.328046852,24.0951392413,22.076429344,24.15,2.98491672932,0.0
13,3.11666666667,0.0,44186.7998292,23.2286971008,21.1917794274,22.7634575721,20.1496516314,21.3445611747,22.3268565985,24.1297055054,22.0747840347,24.15,2.98491672932,0.0
14,3.025,0.0,44186.7998292,23.2244384201,21.1866603343,22.7552606359,20.1497502815,21.3389664397,22.3219931462,24.1424965821,22.0730952186,24.15,2.98491672932,0.0
15,2.93333333333,0.0,44186.7998292,23.2207833785,21.1820152973,22.748330635,20.1514767139,21.3339520861,22.3184670032,24.1471800786,22.0718519398,24.15,2.98491672932,0.0
16,2.84166666667,0.0,44186.7998292,23.217028379,21.1775697046,22.7418631814,20.15025931,21.3291718446,22.3148370813,24.1488620318,22.0707407686,24.15,2.98491672932,0.0
17,2.75,0.0,44186.7998292,23.2132619666,21.1732967652,22.7357748253,20.1502736718,21.3245946535,22.3109506869,24.1494673256,22.0697429497,24.15,2.98491672932,0.0
18,2.65833333333,0.0,44186.7998292,23.2094958163,21.1691714702,22.729992303,20.1511176165,21.3201903339,22.3066091138,24.1496745467,22.0688326095,24.15,2.98491672932,0.0
19,2.56666666667,0.0,44186.7998292,23.2057056281,21.1651715961,22.7244536003,20.1496045048,21.3159313242,22.3017405722,24.1497385135,22.0679841468,24.15,2.98491672932,0.0
20,2.475,0.0,44186.7998292,23.2019268546,21.1612973133,22.7191608287,20.1490185024,21.3118182275,22.296488693,24.1497521208,22.0672008776,24.15,2.98491672932,0.0
21,2.38333333333,0.0,44186.7998292,23.198143069,21.1575357949,22.7140775307,20.1506948435,21.3078351628,22.2908830549,24.1497471041,22.066471587,24.15,2.98491672932,0.0
22,2.29166666667,0.0,44186.7998292,23.1943130614,21.1538671188,22.7091484824,20.1499739141,21.3039573425,22.2848851286,24.1497370192,22.0657760754,24.15,2.98491672932,0.0
23,2.2,0.0,44186.7998292,23.1904846974,21.150300715,22.7043949474,20.1492858867,21.3001968234,22.2786132177,24.1497271589,22.0651244134,24.15,2.98491672932,0.0
24,2.10833333333,0.0,41638.1029621,23.1658317467,21.1399912641,22.674262159,20.2956066535,21.2812755264,22.2587726673,24.2592488647,22.0449763321,24.31,2.98491672932,0.0
25,2.01666666667,0.0,41638.1029621,23.133170376,21.1267098034,22.6352441694,20.3088467625,21.2556186859,22.2351574536,24.2937141249,22.0161403365,24.31,2.98491672932,0.0
